### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  568   4.842e+04      0.3265       0.579       0.9055
  569   4.955e+04      0.3263      0.5788        0.905
  570    5.07e+04       0.326      0.5787       0.9047
  571   5.188e+04      0.3258      0.5787       0.9045
  572   5.309e+04      0.3256      0.5787       0.9043
  573   5.433e+04      0.3255      0.5787       0.9041
  574   5.559e+04      0.3253      0.5787       0.9039
  575   5.689e+04      0.3251      0.5787       0.9037
  576   5.821e+04      0.3249      0.5787       0.9036
  577   5.957e+04      0.3247      0.5786       0.9034
  578   6.095e+04      0.3246      0.5786       0.9032
  579   6.237e+04      0.3244      0.5786        0.903
  580   6.383e+04      0.3242      0.5786       0.9029
  581   6.531e+04      0.3241      0.5786       0.9027
  582   6.683e+04      0.3239      0.5786       0.9026
  583   6.839e+04      0.3238      0.5786       0.9024
  584   6.998e+04      0.3236      0.5786       0.9023
  585   7.161e+04      0.3235      0.5786       0.9021
  586   7.328e+04      0.3234      0.5786        0.902
  587   7.499e+04      0.3232      0.5786       0.9019
  588   7.674e+04      0.3231      0.5786       0.9017
  589   7.852e+04       0.323      0.5786       0.9016
  590   8.035e+04      0.3229      0.5786       0.9015
  591   8.222e+04      0.3228      0.5786       0.9014
  592   8.414e+04      0.3226      0.5786       0.9013
  593    8.61e+04      0.3225      0.5786       0.9011
  594    8.81e+04      0.3224      0.5786        0.901
  595   9.016e+04      0.3223      0.5786        0.901
  596   9.226e+04      0.3223      0.5786       0.9009
  597   9.441e+04      0.3222      0.5787       0.9009
  598   9.661e+04      0.3221      0.5788       0.9008
  599   9.886e+04       0.322      0.5788       0.9008
  600   1.012e+05      0.3219      0.5789       0.9008
  601   1.035e+05      0.3219       0.579       0.9008
  602   1.059e+05      0.3218       0.579       0.9008
  603   1.084e+05      0.3217      0.5791       0.9009
  604   1.109e+05      0.3217      0.5792       0.9009
